	NSCLC	HC
163	0.1155	0.8845
164	0.1142	0.8858
165	0.12455	0.87545
166	0.0294	0.9706
167	0.06185	0.93815
168	0.31395	0.68605
169	0.14665	0.85335
171	0.22145	0.77855
172	0.02795	0.97205
173	0.0673	0.9327
175	0.1088	0.8912
176	0.12735	0.87265
177	0.02645	0.97355
178	0.22755	0.77245
179	0.19565	0.80435
180	0.08925	0.91075
181	0.08265	0.91735
182	0.1725	0.8275
183	0.09855	0.90145
184	0.21395	0.78605
185	0.06105	0.93895
186	0.0732	0.9268
187	0.08005	0.91995
190	0.16195	0.83805
191	0.0679	0.9321
192	0.0881	0.9119
194	0.20185	0.79815
196	0.1059	0.8941
197	0.0623	0.9377
199	0.09695	0.90305
200	0.0474	0.9526
202	0.1047	0.8953
203	0.10235	0.89765
204	0.16505	0.83495
205	0.08975	0.91025
206	0.0556	0.9444
207	0.08815	0.91185
209	0.05045	0.94955
210	0.12915	0.87085
211	0.0559	0.9441
212	0.15725	0.84275
213	0.1603	0.8397
214	0.10615	0.89385
215	0.1881	0.8119
216	0.17895	0.82105
217	0.07115	0.92885
218	0.201	0.799
219	0.14935	0.85065
220	0.1141	0.8859
221	0.2706	0.7294
222	0.1222	0.8778
224	0.0983	0.9017
225	0.0897	0.9103
226	0.065	0.935
